成交日期,销售工号,产品,成交客户数, 成交金额 ,产品类型,期数,区域,省份,小组,业务组,职务类别,客单价,成交年份,成交月份,,,,
2020/4/2,1000000050,借呗18期,1," 10,000.34 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 10,000.34 ",2020,4,,,,
2020/4/2,1000000043,借呗6期,1," 10,000.20 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 10,000.20 ",2020,4,,,,
2020/4/2,1000000031,借呗6期,1," 9,257.26 ",借呗,6期,华东,杭州,一组,杭州一组,管理人员," 9,257.26 ",2020,4,,,,
2020/4/2,1000000052,借呗18期,1," 8,000.35 ",借呗,18期,华东,上海,二组,上海二组,普通员工," 8,000.35 ",2020,4,,,,
2020/4/2,1000000029,借呗6期,1," 5,000.37 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 5,000.37 ",2020,4,,,,
2020/4/3,1000000028,借呗12期,2," 40,000.39 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 20,000.20 ",2020,4,,,,
2020/4/3,1000000031,借呗18期,2," 26,000.27 ",借呗,18期,华东,杭州,一组,杭州一组,管理人员," 13,000.14 ",2020,4,,,,
2020/4/3,1000000037,借呗6期,1," 22,000.65 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 22,000.65 ",2020,4,,,,
2020/4/3,1000000035,借呗6期,1," 20,000.47 ",借呗,6期,华东,苏州,三组,苏州三组,普通员工," 20,000.47 ",2020,4,,,,
2020/4/3,1000000029,借呗12期,1," 20,000.28 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 20,000.28 ",2020,4,,,,
2020/4/3,1000000043,借呗12期,2," 15,000.85 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 7,500.43 ",2020,4,,,,
2020/4/3,1000000034,借呗18期,1," 15,000.54 ",借呗,18期,华东,苏州,一组,苏州一组,普通员工," 15,000.54 ",2020,4,,,,
2020/4/3,1000000037,借呗12期,1," 15,000.43 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 15,000.43 ",2020,4,,,,
2020/4/3,1000000050,借呗18期,1," 10,000.62 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 10,000.62 ",2020,4,,,,
2020/4/3,1000000029,借呗6期,1," 10,000.35 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 10,000.35 ",2020,4,,,,
2020/4/3,1000000040,借呗6期,1," 10,000.22 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 10,000.22 ",2020,4,,,,
2020/4/3,1000000041,借呗12期,1," 10,000.07 ",借呗,12期,华西北,北京,四组,北京四组,普通员工," 10,000.07 ",2020,4,,,,
2020/4/3,1000000031,借呗12期,1," 8,000.05 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 8,000.05 ",2020,4,,,,
2020/4/3,1000000057,花呗18期,1," 5,637.93 ",花呗,18期,华东,上海,二组,上海二组,普通员工," 5,637.93 ",2020,4,,,,
2020/4/4,1000000030,借呗18期,1," 20,000.66 ",借呗,18期,华南,广州,三组,广州三组,普通员工," 20,000.66 ",2020,4,,,,
2020/4/4,1000000031,借呗12期,2," 20,000.35 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 10,000.18 ",2020,4,,,,
2020/4/4,1000000050,借呗18期,1," 20,000.21 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 20,000.21 ",2020,4,,,,
2020/4/4,1000000034,借呗6期,1," 19,999.94 ",借呗,6期,华东,苏州,一组,苏州一组,普通员工," 19,999.94 ",2020,4,,,,
2020/4/4,1000000047,借呗18期,1," 15,000.01 ",借呗,18期,华南,广州,一组,广州一组,普通员工," 15,000.01 ",2020,4,,,,
2020/4/4,1000000029,借呗12期,1," 10,000.63 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 10,000.63 ",2020,4,,,,
2020/4/4,1000000040,借呗12期,1," 10,000.39 ",借呗,12期,华西北,北京,四组,北京四组,管理人员," 10,000.39 ",2020,4,,,,
2020/4/4,1000000067,借呗12期,1," 10,000.31 ",借呗,12期,华东,苏州,二组,苏州二组,普通员工," 10,000.31 ",2020,4,,,,
2020/4/4,1000000040,借呗6期,1," 7,999.99 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 7,999.99 ",2020,4,,,,
2020/4/4,1000000029,借呗6期,1," 5,000.49 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 5,000.49 ",2020,4,,,,
2020/4/4,1000000036,借呗12期,1," 5,000.43 ",借呗,12期,华南,广州,三组,广州三组,管理人员," 5,000.43 ",2020,4,,,,
2020/4/4,1000000044,借呗6期,1," 4,999.94 ",借呗,6期,华西北,北京,三组,北京三组,管理人员," 4,999.94 ",2020,4,,,,
2020/4/5,1000000576,借呗12期,3," 48,001.25 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 16,000.42 ",2020,4,,,,
2020/4/5,1000000028,借呗12期,2," 28,001.33 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 14,000.67 ",2020,4,,,,
2020/4/5,1000000566,借呗12期,1," 20,000.31 ",借呗,12期,华南,广州,三组,广州三组,普通员工," 20,000.31 ",2020,4,,,,
2020/4/5,1000000030,借呗6期,1," 20,000.29 ",借呗,6期,华南,广州,三组,广州三组,普通员工," 20,000.29 ",2020,4,,,,
2020/4/5,1000000032,借呗12期,1," 20,000.29 ",借呗,12期,华东,苏州,一组,苏州一组,管理人员," 20,000.29 ",2020,4,,,,
2020/4/5,1000000057,借呗18期,1," 20,000.24 ",借呗,18期,华东,上海,二组,上海二组,普通员工," 20,000.24 ",2020,4,,,,
2020/4/5,1000000047,借呗18期,2," 18,000.74 ",借呗,18期,华南,广州,一组,广州一组,普通员工," 9,000.37 ",2020,4,,,,
2020/4/5,1000000566,借呗18期,1," 17,999.94 ",借呗,18期,华南,广州,三组,广州三组,普通员工," 17,999.94 ",2020,4,,,,
2020/4/5,1000000029,借呗12期,1," 10,000.63 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 10,000.63 ",2020,4,,,,
2020/4/5,1000000046,借呗6期,1," 10,000.58 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 10,000.58 ",2020,4,,,,
2020/4/5,1000000041,借呗6期,1," 10,000.44 ",借呗,6期,华西北,北京,四组,北京四组,普通员工," 10,000.44 ",2020,4,,,,
2020/4/5,1000000029,借呗6期,1," 10,000.33 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 10,000.33 ",2020,4,,,,
2020/4/5,1000000040,借呗6期,1," 10,000.21 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 10,000.21 ",2020,4,,,,
2020/4/5,1000000035,借呗12期,1," 8,000.44 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 8,000.44 ",2020,4,,,,
2020/4/5,1000000566,借呗6期,1," 8,000.25 ",借呗,6期,华南,广州,三组,广州三组,普通员工," 8,000.25 ",2020,4,,,,
2020/4/5,1000000067,借呗18期,1," 8,000.20 ",借呗,18期,华东,苏州,二组,苏州二组,普通员工," 8,000.20 ",2020,4,,,,
2020/4/5,1000000047,借呗12期,1," 8,000.11 ",借呗,12期,华南,广州,一组,广州一组,普通员工," 8,000.11 ",2020,4,,,,
2020/4/5,1000000057,借呗6期,1," 7,999.97 ",借呗,6期,华东,上海,二组,上海二组,普通员工," 7,999.97 ",2020,4,,,,
2020/4/5,1000000051,借呗12期,1," 6,000.46 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 6,000.46 ",2020,4,,,,
2020/4/5,1000000037,借呗12期,1," 5,000.53 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 5,000.53 ",2020,4,,,,
2020/4/5,1000000043,借呗6期,1," 5,000.37 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 5,000.37 ",2020,4,,,,
2020/4/5,1000000028,借呗6期,1," 5,000.36 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 5,000.36 ",2020,4,,,,
2020/4/5,1000000031,借呗6期,1," 5,000.31 ",借呗,6期,华东,杭州,一组,杭州一组,管理人员," 5,000.31 ",2020,4,,,,
2020/4/5,1000000034,借呗6期,1," 5,000.03 ",借呗,6期,华东,苏州,一组,苏州一组,普通员工," 5,000.03 ",2020,4,,,,
2020/4/5,1000000566,花呗12期,1," 4,737.98 ",花呗,12期,华南,广州,三组,广州三组,普通员工," 4,737.98 ",2020,4,,,,
2020/4/5,1000000037,借呗6期,1," 3,000.69 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 3,000.69 ",2020,4,,,,
2020/4/6,1000000034,借呗6期,2," 36,001.15 ",借呗,6期,华东,苏州,一组,苏州一组,普通员工," 18,000.58 ",2020,4,,,,
2020/4/6,1000000031,借呗18期,1," 25,000.42 ",借呗,18期,华东,杭州,一组,杭州一组,管理人员," 25,000.42 ",2020,4,,,,
2020/4/6,1000000057,借呗12期,2," 23,000.79 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 11,500.40 ",2020,4,,,,
2020/4/6,1000000046,借呗12期,1," 20,000.65 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 20,000.65 ",2020,4,,,,
2020/4/6,1000000029,借呗6期,1," 20,000.55 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 20,000.55 ",2020,4,,,,
2020/4/6,1000000049,借呗18期,1," 20,000.23 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 20,000.23 ",2020,4,,,,
2020/4/6,1000000031,借呗12期,1," 20,000.11 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 20,000.11 ",2020,4,,,,
2020/4/6,1000000033,借呗6期,1," 20,000.08 ",借呗,6期,华东,苏州,一组,苏州一组,普通员工," 20,000.08 ",2020,4,,,,
2020/4/6,1000000050,借呗12期,1," 20,000.00 ",借呗,12期,华东,合肥,一组,合肥一组,普通员工," 20,000.00 ",2020,4,,,,
2020/4/6,1000000049,借呗12期,1," 18,000.03 ",借呗,12期,华东,合肥,一组,合肥一组,普通员工," 18,000.03 ",2020,4,,,,
2020/4/6,1000000028,借呗18期,1," 15,000.25 ",借呗,18期,华东,杭州,二组,杭州二组,普通员工," 15,000.25 ",2020,4,,,,
2020/4/6,1000000039,借呗12期,1," 10,000.71 ",借呗,12期,华东,苏州,二组,苏州二组,管理人员," 10,000.71 ",2020,4,,,,
2020/4/6,1000000566,借呗12期,1," 10,000.69 ",借呗,12期,华南,广州,三组,广州三组,普通员工," 10,000.69 ",2020,4,,,,
2020/4/6,1000000034,借呗12期,1," 10,000.52 ",借呗,12期,华东,苏州,一组,苏州一组,普通员工," 10,000.52 ",2020,4,,,,
2020/4/6,1000000043,借呗12期,1," 10,000.27 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 10,000.27 ",2020,4,,,,
2020/4/6,1000000576,借呗12期,1," 10,000.18 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 10,000.18 ",2020,4,,,,
2020/4/6,1000000043,借呗6期,1," 8,000.27 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 8,000.27 ",2020,4,,,,
2020/4/6,1000000036,借呗6期,1," 5,000.37 ",借呗,6期,华南,广州,三组,广州三组,管理人员," 5,000.37 ",2020,4,,,,
2020/4/6,1000000044,花呗6期,1, 439.62 ,花呗,6期,华西北,北京,三组,北京三组,管理人员, 439.62 ,2020,4,,,,
2020/4/7,1000000576,借呗18期,2," 37,000.88 ",借呗,18期,华东,苏州,三组,苏州三组,普通员工," 18,500.44 ",2020,4,,,,
2020/4/7,1000000576,借呗12期,1," 22,000.65 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 22,000.65 ",2020,4,,,,
2020/4/7,1000000041,借呗18期,1," 22,000.52 ",借呗,18期,华西北,北京,四组,北京四组,普通员工," 22,000.52 ",2020,4,,,,
2020/4/7,1000000057,借呗12期,1," 20,000.70 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 20,000.70 ",2020,4,,,,
2020/4/7,1000000044,借呗18期,1," 20,000.57 ",借呗,18期,华西北,北京,三组,北京三组,管理人员," 20,000.57 ",2020,4,,,,
2020/4/7,1000000036,借呗18期,1," 20,000.49 ",借呗,18期,华南,广州,三组,广州三组,管理人员," 20,000.49 ",2020,4,,,,
2020/4/7,1000000068,借呗18期,1," 20,000.48 ",借呗,18期,华西北,重庆,一组,重庆一组,管理人员," 20,000.48 ",2020,4,,,,
2020/4/7,1000000031,借呗18期,1," 20,000.12 ",借呗,18期,华东,杭州,一组,杭州一组,管理人员," 20,000.12 ",2020,4,,,,
2020/4/7,1000000039,借呗18期,1," 19,999.94 ",借呗,18期,华东,苏州,二组,苏州二组,管理人员," 19,999.94 ",2020,4,,,,
2020/4/7,1000000034,借呗12期,1," 18,000.55 ",借呗,12期,华东,苏州,一组,苏州一组,普通员工," 18,000.55 ",2020,4,,,,
2020/4/7,1000000030,借呗6期,1," 18,000.15 ",借呗,6期,华南,广州,三组,广州三组,普通员工," 18,000.15 ",2020,4,,,,
2020/4/7,1000000049,借呗6期,2," 15,000.19 ",借呗,6期,华东,合肥,一组,合肥一组,普通员工," 7,500.10 ",2020,4,,,,
2020/4/7,1000000049,借呗12期,1," 10,000.10 ",借呗,12期,华东,合肥,一组,合肥一组,普通员工," 10,000.10 ",2020,4,,,,
2020/4/7,1000000576,借呗6期,1," 5,000.62 ",借呗,6期,华东,苏州,三组,苏州三组,普通员工," 5,000.62 ",2020,4,,,,
2020/4/7,1000000046,借呗6期,1," 5,000.43 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 5,000.43 ",2020,4,,,,
2020/4/7,1000000046,借呗12期,1," 5,000.43 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 5,000.43 ",2020,4,,,,
2020/4/7,1000000052,借呗6期,1," 5,000.36 ",借呗,6期,华东,上海,二组,上海二组,普通员工," 5,000.36 ",2020,4,,,,
2020/4/7,1000000051,借呗12期,1," 1,999.97 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 1,999.97 ",2020,4,,,,
2020/4/7,1000000036,借呗6期,1," 1,500.49 ",借呗,6期,华南,广州,三组,广州三组,管理人员," 1,500.49 ",2020,4,,,,
2020/4/8,1000000044,借呗12期,3," 60,000.91 ",借呗,12期,华西北,北京,三组,北京三组,管理人员," 20,000.30 ",2020,4,,,,
2020/4/8,1000000039,借呗6期,2," 42,000.11 ",借呗,6期,华东,苏州,二组,苏州二组,管理人员," 21,000.06 ",2020,4,,,,
2020/4/8,1000000576,借呗18期,3," 41,001.45 ",借呗,18期,华东,苏州,三组,苏州三组,普通员工," 13,667.15 ",2020,4,,,,
2020/4/8,1000000047,借呗18期,2," 38,001.35 ",借呗,18期,华南,广州,一组,广州一组,普通员工," 19,000.68 ",2020,4,,,,
2020/4/8,1000000050,借呗18期,2," 36,000.79 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 18,000.40 ",2020,4,,,,
2020/4/8,1000000046,借呗12期,4," 23,002.14 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 5,750.54 ",2020,4,,,,
2020/4/8,1000000068,借呗6期,1," 22,000.51 ",借呗,6期,华西北,重庆,一组,重庆一组,管理人员," 22,000.51 ",2020,4,,,,
2020/4/8,1000000040,借呗6期,2," 21,001.12 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 10,500.56 ",2020,4,,,,
2020/4/8,1000000049,借呗12期,1," 20,000.55 ",借呗,12期,华东,合肥,一组,合肥一组,普通员工," 20,000.55 ",2020,4,,,,
2020/4/8,1000000029,借呗6期,2," 18,000.52 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 9,000.26 ",2020,4,,,,
2020/4/8,1000000049,借呗18期,1," 18,000.42 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 18,000.42 ",2020,4,,,,
2020/4/8,1000000057,借呗12期,1," 18,000.05 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 18,000.05 ",2020,4,,,,
2020/4/8,1000000928,借呗18期,1," 15,000.60 ",借呗,18期,华西北,西安,一组,西安一组,普通员工," 15,000.60 ",2020,4,,,,
2020/4/8,1000000068,借呗12期,1," 15,000.50 ",借呗,12期,华西北,重庆,一组,重庆一组,管理人员," 15,000.50 ",2020,4,,,,
2020/4/8,1000000037,借呗6期,1," 15,000.12 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 15,000.12 ",2020,4,,,,
2020/4/8,1000000036,借呗6期,2," 15,000.08 ",借呗,6期,华南,广州,三组,广州三组,管理人员," 7,500.04 ",2020,4,,,,
2020/4/8,1000000043,借呗6期,2," 13,001.06 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 6,500.53 ",2020,4,,,,
2020/4/8,1000000043,借呗12期,2," 10,000.79 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 5,000.40 ",2020,4,,,,
2020/4/8,1000000057,借呗18期,1," 10,000.39 ",借呗,18期,华东,上海,二组,上海二组,普通员工," 10,000.39 ",2020,4,,,,
2020/4/8,1000000041,借呗12期,1," 10,000.33 ",借呗,12期,华西北,北京,四组,北京四组,普通员工," 10,000.33 ",2020,4,,,,
2020/4/8,1000000045,借呗12期,1," 10,000.20 ",借呗,12期,华南,深圳,一组,深圳一组,普通员工," 10,000.20 ",2020,4,,,,
2020/4/8,1000000041,借呗6期,1," 10,000.06 ",借呗,6期,华西北,北京,四组,北京四组,普通员工," 10,000.06 ",2020,4,,,,
2020/4/8,1000000928,借呗6期,1," 8,000.74 ",借呗,6期,华西北,西安,一组,西安一组,普通员工," 8,000.74 ",2020,4,,,,
2020/4/8,1000000045,借呗6期,1," 8,000.58 ",借呗,6期,华南,深圳,一组,深圳一组,普通员工," 8,000.58 ",2020,4,,,,
2020/4/8,1000000056,借呗6期,1," 8,000.11 ",借呗,6期,华东,上海,一组,上海一组,管理人员," 8,000.11 ",2020,4,,,,
2020/4/8,1000000029,借呗12期,1," 5,000.03 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 5,000.03 ",2020,4,,,,
2020/4/8,1000000067,借呗6期,1," 5,000.03 ",借呗,6期,华东,苏州,二组,苏州二组,普通员工," 5,000.03 ",2020,4,,,,
2020/4/9,1000000030,借呗12期,2," 37,000.58 ",借呗,12期,华南,广州,三组,广州三组,普通员工," 18,500.29 ",2020,4,,,,
2020/4/9,1000000029,借呗12期,2," 32,001.04 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 16,000.52 ",2020,4,,,,
2020/4/9,1000000031,借呗12期,2," 25,000.31 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 12,500.16 ",2020,4,,,,
2020/4/9,1000000068,借呗6期,1," 22,000.02 ",借呗,6期,华西北,重庆,一组,重庆一组,管理人员," 22,000.02 ",2020,4,,,,
2020/4/9,1000000067,借呗12期,1," 21,499.95 ",借呗,12期,华东,苏州,二组,苏州二组,普通员工," 21,499.95 ",2020,4,,,,
2020/4/9,1000000237,借呗18期,1," 20,000.70 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 20,000.70 ",2020,4,,,,
2020/4/9,1000000056,借呗12期,1," 20,000.64 ",借呗,12期,华东,上海,一组,上海一组,管理人员," 20,000.64 ",2020,4,,,,
2020/4/9,1000000037,借呗12期,1," 20,000.46 ",借呗,12期,华东,杭州,二组,杭州二组,普通员工," 20,000.46 ",2020,4,,,,
2020/4/9,1000000028,借呗6期,1," 20,000.40 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 20,000.40 ",2020,4,,,,
2020/4/9,1000000028,借呗18期,1," 20,000.17 ",借呗,18期,华东,杭州,二组,杭州二组,普通员工," 20,000.17 ",2020,4,,,,
2020/4/9,1000000928,借呗12期,1," 20,000.01 ",借呗,12期,华西北,西安,一组,西安一组,普通员工," 20,000.01 ",2020,4,,,,
2020/4/9,1000000040,借呗6期,1," 18,000.56 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 18,000.56 ",2020,4,,,,
2020/4/9,1000000047,借呗12期,2," 18,000.25 ",借呗,12期,华南,广州,一组,广州一组,普通员工," 9,000.13 ",2020,4,,,,
2020/4/9,1000000033,借呗6期,1," 17,999.94 ",借呗,6期,华东,苏州,一组,苏州一组,普通员工," 17,999.94 ",2020,4,,,,
2020/4/9,1000000566,借呗6期,1," 15,000.73 ",借呗,6期,华南,广州,三组,广州三组,普通员工," 15,000.73 ",2020,4,,,,
2020/4/9,1000000043,借呗12期,1," 10,000.66 ",借呗,12期,华西北,成都,一组,成都一组,普通员工," 10,000.66 ",2020,4,,,,
2020/4/9,1000000040,借呗12期,1," 10,000.58 ",借呗,12期,华西北,北京,四组,北京四组,管理人员," 10,000.58 ",2020,4,,,,
2020/4/9,1000000044,借呗6期,1," 10,000.36 ",借呗,6期,华西北,北京,三组,北京三组,管理人员," 10,000.36 ",2020,4,,,,
2020/4/9,1000000049,借呗18期,1," 10,000.13 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 10,000.13 ",2020,4,,,,
2020/4/9,1000000041,借呗18期,1," 10,000.09 ",借呗,18期,华西北,北京,四组,北京四组,普通员工," 10,000.09 ",2020,4,,,,
2020/4/9,1000000576,借呗12期,1," 8,000.59 ",借呗,12期,华东,苏州,三组,苏州三组,普通员工," 8,000.59 ",2020,4,,,,
2020/4/9,1000000052,借呗6期,1," 8,000.40 ",借呗,6期,华东,上海,二组,上海二组,普通员工," 8,000.40 ",2020,4,,,,
2020/4/9,1000000054,借呗12期,1," 5,000.04 ",借呗,12期,华东,上海,一组,上海一组,普通员工," 5,000.04 ",2020,4,,,,
2020/4/9,1000000067,借呗6期,2," 2,499.97 ",借呗,6期,华东,苏州,二组,苏州二组,普通员工," 1,249.99 ",2020,4,,,,
2020/4/9,1000000031,借呗6期,1," 2,000.10 ",借呗,6期,华东,杭州,一组,杭州一组,管理人员," 2,000.10 ",2020,4,,,,
2020/4/9,1000000043,借呗6期,1," 2,000.07 ",借呗,6期,华西北,成都,一组,成都一组,普通员工," 2,000.07 ",2020,4,,,,
2020/4/10,1000000576,借呗18期,2," 42,000.86 ",借呗,18期,华东,苏州,三组,苏州三组,普通员工," 21,000.43 ",2020,4,,,,
2020/4/10,1000000237,借呗18期,2," 38,000.64 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 19,000.32 ",2020,4,,,,
2020/4/10,1000000044,借呗12期,3," 38,000.12 ",借呗,12期,华西北,北京,三组,北京三组,管理人员," 12,666.71 ",2020,4,,,,
2020/4/10,1000000049,借呗18期,3," 33,000.57 ",借呗,18期,华东,合肥,一组,合肥一组,普通员工," 11,000.19 ",2020,4,,,,
2020/4/10,1000000057,借呗12期,2," 28,000.78 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 14,000.39 ",2020,4,,,,
2020/4/10,1000000566,借呗18期,2," 27,000.60 ",借呗,18期,华南,广州,三组,广州三组,普通员工," 13,500.30 ",2020,4,,,,
2020/4/10,1000001513,借呗18期,1," 22,000.34 ",借呗,18期,华东,上海,二组,上海二组,普通员工," 22,000.34 ",2020,4,,,,
2020/4/10,1000000035,借呗6期,1," 22,000.32 ",借呗,6期,华东,苏州,三组,苏州三组,普通员工," 22,000.32 ",2020,4,,,,
2020/4/10,1000000040,借呗6期,1," 20,001.26 ",借呗,6期,华西北,北京,四组,北京四组,管理人员," 20,001.26 ",2020,4,,,,
2020/4/10,1000000041,借呗12期,1," 20,000.54 ",借呗,12期,华西北,北京,四组,北京四组,普通员工," 20,000.54 ",2020,4,,,,
2020/4/10,1000000029,借呗6期,1," 15,000.61 ",借呗,6期,华东,杭州,二组,杭州二组,普通员工," 15,000.61 ",2020,4,,,,
2020/4/10,1000000068,借呗12期,1," 15,000.33 ",借呗,12期,华西北,重庆,一组,重庆一组,管理人员," 15,000.33 ",2020,4,,,,
2020/4/10,1000000058,借呗12期,1," 10,000.72 ",借呗,12期,华东,上海,二组,上海二组,普通员工," 10,000.72 ",2020,4,,,,
2020/4/10,1000000036,借呗12期,1," 10,000.26 ",借呗,12期,华南,广州,三组,广州三组,管理人员," 10,000.26 ",2020,4,,,,
2020/4/10,1000000031,借呗12期,1," 10,000.23 ",借呗,12期,华东,杭州,一组,杭州一组,管理人员," 10,000.23 ",2020,4,,,,
2020/4/10,1000000032,借呗12期,1," 10,000.10 ",借呗,12期,华东,苏州,一组,苏州一组,管理人员," 10,000.10 ",2020,4,,,,
2020/4/10,1000000049,借呗6期,1," 10,000.09 ",借呗,6期,华东,合肥,一组,合肥一组,普通员工," 10,000.09 ",2020,4,,,,
2020/4/10,1000000043,借呗18期,1," 9,999.98 ",借呗,18期,华西北,成都,一组,成都一组,普通员工," 9,999.98 ",2020,4,,,,
2020/4/10,1000000237,借呗12期,1," 8,000.27 ",借呗,12期,华东,合肥,一组,合肥一组,普通员工," 8,000.27 ",2020,4,,,,
